City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,um jar al gharbiyya,13.8013,32.4078,32.9,21,75,2.62,SD,1697666550
276,thompson,55.7435,-97.8558,9.09,49,40,1.54,CA,1697666499
277,brazzaville,-4.2658,15.2832,22.47,85,92,0.22,CG,1697666551
278,inyonga,-6.7167,32.0667,22.7,61,62,1.14,TZ,1697666552
279,pangkalan brandan,4.0238,98.2782,23.74,95,100,1.31,ID,1697666552
280,mhamid,29.82,-5.72,27.2,23,41,3.43,MA,1697666553
281,shimoda,34.6667,138.95,19.5,76,80,4.87,JP,1697666553
282,bac lieu,9.285,105.7244,25.66,87,51,2.62,VN,1697666554
283,al muwayh,22.4333,41.7583,23.71,36,2,3.55,SA,1697666554
284,lautoka,-17.6167,177.4667,27.92,57,20,2.57,FJ,1697666555
285,alpine,32.835,-116.7664,34.97,39,0,3.09,US,1697666555
286,lunglei,22.8833,92.7333,14.94,79,0,1.42,IN,1697666556
287,namanga,-2.5433,36.7905,20.77,80,66,4.25,KE,1697666556
288,fale old settlement,-9.3852,-171.2468,28.41,72,91,3.06,TK,1697666557
289,saldanha,-33.0117,17.9442,19.03,81,20,5.35,ZA,1697666527
290,hilo,19.7297,-155.09,29.03,77,18,0.89,US,1697666413
291,al jawf,29.5,38.75,20.12,37,0,3.11,SA,1697666558
292,bandarbeyla,9.4942,50.8122,26.9,80,19,2.19,SO,1697666559
293,merizo village,13.2658,144.6691,28.54,88,49,4.8,GU,1697666560
294,dalandzadgad,43.5708,104.425,3.28,25,6,0.44,MN,1697666561
295,nairn,57.5809,-3.8797,11.76,75,40,5.14,GB,1697666561
296,i-n-salah,27.1935,2.4607,28.29,14,6,3.7,DZ,1697666562
297,hastings,50.8552,0.5729,16.07,52,100,15.11,GB,1697666563
298,santiago de cao,-7.9589,-79.2392,20.07,83,20,5.14,PE,1697666563
299,prado,-17.3411,-39.2208,24.53,77,10,5.47,BR,1697666564
300,ust'-barguzin,53.45,108.9833,1.72,74,76,1.34,RU,1697666564
301,rongelap,11.1635,166.8941,26.99,80,100,6.7,MH,1697666564
302,ortakoy,38.7373,34.0387,10.14,84,90,1.94,TR,1697666565
303,dzilam gonzalez,21.2833,-88.9333,27.39,59,54,5.42,MX,1697666565
304,avarua,-21.2078,-159.775,24.03,57,20,4.63,CK,1697666566
305,skelleftea,64.7507,20.9528,0.2,90,100,4.63,SE,1697666566
306,la ermita,20.4139,-101.9936,25.0,25,100,1.26,MX,1697666567
307,harstad,68.799,16.5293,-0.11,97,46,3.58,NO,1697666567
308,srednebelaya,50.6594,128.0106,2.21,85,88,5.73,RU,1697666568
309,baiersbronn,48.5,8.3833,11.0,68,100,2.15,DE,1697666568
310,praia da vitoria,38.7333,-27.0667,23.14,88,75,8.47,PT,1697666569
311,usakos,-22.0,15.6,19.86,44,0,1.24,NA,1697666569
312,tannum sands,-23.9504,151.3693,21.94,56,59,4.63,AU,1697666570
313,miyaly,48.8844,53.7836,5.05,40,91,1.07,KZ,1697666570
314,grand falls-windsor,48.9332,-55.6649,6.39,78,66,2.51,CA,1697666571
315,new norfolk,-42.7826,147.0587,13.17,50,98,1.05,AU,1697666571
316,mardan,34.2019,72.0525,17.32,55,17,1.26,PK,1697666444
317,palmer,42.1584,-72.3287,14.72,73,75,1.54,US,1697666572
318,carutapera,-1.195,-46.02,25.34,90,47,3.6,BR,1697666573
319,zhaotong,27.3167,103.7167,13.32,90,94,1.83,CN,1697666573
320,uvinza,-5.1036,30.3911,22.02,69,85,1.61,TZ,1697666574
321,taroa,8.7058,171.2275,27.34,77,94,4.46,MH,1697666574
322,boyolangu,-8.1181,111.8935,23.26,94,91,1.49,ID,1697666575
323,dudinka,69.4058,86.1778,3.68,98,100,2.68,RU,1697666575
324,kimbe,-5.5502,150.1429,27.76,78,41,0.87,PG,1697666576
325,filey,54.21,-0.2892,12.24,88,100,5.81,GB,1697666576
326,foulayronnes,44.2403,0.6452,16.9,94,75,3.6,FR,1697666577
327,cusseta,32.3054,-84.7727,23.03,47,0,1.99,US,1697666577
328,afaahiti,-17.75,-149.2833,24.93,83,95,8.06,PF,1697666578
329,rio gallegos,-51.6226,-69.2181,18.03,34,0,5.14,AR,1697666578
330,mangrol,21.1167,70.1167,26.95,57,1,3.25,IN,1697666579
331,san antonio de pale,-1.4014,5.6325,25.95,82,100,2.76,GQ,1697666580
332,savanna-la-mar,18.219,-78.1332,27.97,85,100,1.35,JM,1697666580
333,agat village,13.3886,144.6585,28.75,87,47,1.34,GU,1697666581
334,crane,31.3974,-102.3501,32.42,17,3,1.51,US,1697666581
335,slave lake,55.2834,-114.769,17.99,42,75,10.8,CA,1697666582
336,port douglas,-16.4833,145.4667,23.91,74,94,6.49,AU,1697666535
337,saudarkrokur,65.7461,-19.6394,3.92,82,93,3.46,IS,1697666584
338,la tuque,47.4334,-72.7824,14.14,54,9,3.09,CA,1697666413
339,ankang,32.68,109.0172,12.8,95,100,1.27,CN,1697666450
340,moranbah,-22.0016,148.0466,21.41,59,100,8.07,AU,1697666585
341,hobyo,5.3505,48.5268,27.39,78,100,3.99,SO,1697666587
342,le moule,16.3332,-61.3473,29.02,100,63,7.34,GP,1697666405
343,antofagasta,-23.65,-70.4,17.6,70,33,4.23,CL,1697665925
344,saint-joseph,-21.3667,55.6167,24.21,85,94,2.24,RE,1697666589
345,tan-tan,28.438,-11.1032,21.27,88,15,3.13,MA,1697666589
